toldWhatToDo,engagerMovingWorker,workerDecidingHowWorkIsDone,whenWorkHasToBeDone,workerDecideWhere,CarryOverValue,Exit,CarryOverFactName
Sometimes,Yes,WorkerFullyDecides,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,Yes,WorkerFullyDecides,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,Yes,WorkerFullyDecides,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,Yes,WorkerFullyDecides,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,Yes,WorkerFullyDecides,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,Yes,WorkerFullyDecides,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,Yes,WorkerFullyDecides,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,Yes,WorkerFullyDecides,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,No,workingSetInstructions,workingPatternStipulated,cannotFixWorkerLocation,MEDIUM,FALSE,
No,No,workingSetInstructions,workingPatternStipulated,couldFixWorkerLocation,MEDIUM,FALSE,
No,No,workerCanGetInstructed,workingPatternStipulated,cannotFixWorkerLocation,MEDIUM,FALSE,
No,No,workerCanGetInstructed,workingPatternStipulated,couldFixWorkerLocation,MEDIUM,FALSE,
No,No,workerDecidesToClientSatisfaction,workingPatternStipulated,cannotFixWorkerLocation,MEDIUM,FALSE,
No,No,workerDecidesToClientSatisfaction,workingPatternStipulated,couldFixWorkerLocation,MEDIUM,FALSE,
No,No,WorkerFullyDecides,workingPatternStipulated,cannotFixWorkerLocation,MEDIUM,FALSE,
No,No,WorkerFullyDecides,workingPatternStipulated,couldFixWorkerLocation,MEDIUM,FALSE,
No,Yes,workingSetInstructions,workingPatternStipulated,cannotFixWorkerLocation,HIGH,FALSE,
No,Yes,workingSetInstructions,workingPatternStipulated,couldFixWorkerLocation,HIGH,FALSE,
No,Yes,workerCanGetInstructed,workingPatternStipulated,cannotFixWorkerLocation,HIGH,FALSE,
No,Yes,workerCanGetInstructed,workingPatternStipulated,couldFixWorkerLocation,HIGH,FALSE,
No,Yes,workerDecidesToClientSatisfaction,workingPatternStipulated,cannotFixWorkerLocation,MEDIUM,FALSE,
No,Yes,workerDecidesToClientSatisfaction,workingPatternStipulated,couldFixWorkerLocation,MEDIUM,FALSE,
No,Yes,WorkerFullyDecides,workingPatternStipulated,cannotFixWorkerLocation,MEDIUM,FALSE,
No,Yes,WorkerFullyDecides,workingPatternStipulated,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,No,workingSetInstructions,workingPatternStipulated,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,No,workingSetInstructions,workingPatternStipulated,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,No,workerCanGetInstructed,workingPatternStipulated,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,No,workerCanGetInstructed,workingPatternStipulated,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,No,workerDecidesToClientSatisfaction,workingPatternStipulated,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,No,workerDecidesToClientSatisfaction,workingPatternStipulated,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,No,WorkerFullyDecides,workingPatternStipulated,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,No,WorkerFullyDecides,workingPatternStipulated,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workingSetInstructions,workingPatternStipulated,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workingSetInstructions,workingPatternStipulated,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workerCanGetInstructed,workingPatternStipulated,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workerCanGetInstructed,workingPatternStipulated,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workerDecidesToClientSatisfaction,workingPatternStipulated,cannotFixWorkerLocation,MEDIUM,FALSE,
